id,hair_color_r1,hair_color_r2,hair_color_g1,hair_color_g2,hair_color_b1,hair_color_b2,hair_toon_color_r1,hair_toon_color_r2,hair_toon_color_g1,hair_toon_color_g2,hair_toon_color_b1,hair_toon_color_b2,mayu_color_r1,mayu_color_r2,mayu_color_g1,mayu_color_g2,mayu_color_b1,mayu_color_b2,mayu_toon_color_r1,mayu_toon_color_r2,mayu_toon_color_g1,mayu_toon_color_g2,mayu_toon_color_b1,mayu_toon_color_b2,eye_color_r1,eye_color_r2,eye_color_g1,eye_color_g2,eye_color_b1,eye_color_b2,tail_color_r1,tail_color_r2,tail_color_g1,tail_color_g2,tail_color_b1,tail_color_b2,tail_toon_color_r1,tail_toon_color_r2,tail_toon_color_g1,tail_toon_color_g2,tail_toon_color_b1,tail_toon_color_b2
10010,#F5836B,#4B2321,#E6DCDB,#B4A9A9,#5D5758,#5D0F29,#C95E4D,#310D11,#B0A5A7,#9D8D8D,#4C394F,#0A0307,#FFFFFF,#FFFFFF,#FFFFFF,#330F24,#0A0307,#802659,#FFFFFF,#FFFFFF,#FFFFFF,#330F24,#0A0307,#802659,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6CFD6,#FFFFFF,#FFFFFF,#08060A,#FFFFFF,#5D0F29,#E6CFD6,#FFFFFF,#FFFFFF,#08060A,#FFFFFF,#0A0307
10011,#956360,#67F154,#B1B4B1,#52802A,#B449CA,#B1B4B1,#633A98,#55BFC0,#9BA299,#1A4C4A,#694993,#9BA299,#FFFFFF,#FFFFFF,#FFFFFF,#313330,#9BA299,#9BA299,#FFFFFF,#FFFFFF,#FFFFFF,#313330,#9BA299,#9BA299,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7,#D2E6CF,#FFFFFF,#FFFFFF,#7A68A2,#FFFFFF,#B1B4B1,#D2E6CF,#FFFFFF,#FFFFFF,#7A68A2,#FFFFFF,#9BA299
10012,#D9D9D8,#BCA16F,#C05D3C,#804E19,#37331A,#C05D3C,#C6BEA6,#9F644E,#934234,#522510,#042105,#934234,#FFFFFF,#FFFFFF,#FFFFFF,#331712,#934234,#934234,#FFFFFF,#FFFFFF,#FFFFFF,#331712,#934234,#934234,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6D4CF,#FFFFFF,#FFFFFF,#6F5E93,#FFFFFF,#C05D3C,#E6D4CF,#FFFFFF,#FFFFFF,#6F5E93,#FFFFFF,#934234
10014,#FFA2D4,#F141BF,#B476AA,#80214D,#CA30BD,#B49FB2,#C67EA5,#9F4FA9,#764792,#2D1227,#6F388F,#7A6688,#FFFFFF,#FFFFFF,#FFFFFF,#2E2633,#7A6688,#7A6688,#FFFFFF,#FFFFFF,#FFFFFF,#2E2633,#7A6688,#7A6688,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7,#E6CFE3,#FFFFFF,#FFFFFF,#675788,#FFFFFF,#B49FB2,#E6CFE3,#FFFFFF,#FFFFFF,#675788,#FFFFFF,#7A6688
10015,#9C68CF,#D16852,#F3E3E3,#808080,#8C183A,#524142,#9C68CF,#98364E,#9D9595,#808080,#461554,#352524,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#352723,#A98E87,#C7A79E,#402A29,#523C39,#AD8F88,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#524142,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#352524
10016,#595358,#DBCFDD,#FFFFFF,#99E999,#395437,#924974,#353349,#B4A2C2,#FFFFFF,#67B9C6,#133A3D,#703859,#FFFFFF,#FFFFFF,#FFFFFF,#331A29,#703859,#804065,#FFFFFF,#FFFFFF,#FFFFFF,#331A29,#703859,#804065,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6CFDC,#FFFFFF,#FFFFFF,#554870,#FFFFFF,#924974,#E6CFDC,#FFFFFF,#FFFFFF,#554870,#FFFFFF,#703859
10017,#FFF0EE,#887F81,#403C3C,#61131D,#612922,#612940,#FEDBEF,#6B5D67,#2B1E25,#18050E,#421B13,#421827,#FFFFFF,#FFFFFF,#FFFFFF,#33121E,#421827,#802E4A,#FFFFFF,#FFFFFF,#FFFFFF,#33121E,#421827,#802E4A,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6CFD8,#FFFFFF,#FFFFFF,#322A42,#FFFFFF,#612940,#E6CFD8,#FFFFFF,#FFFFFF,#322A42,#FFFFFF,#421827
10018,#A81E1D,#605C5D,#C9A9A1,#7D2434,#A8473C,#A86022,#67122E,#4C3C52,#AB7A8A,#401424,#81372D,#7A341A,#FFFFFF,#FFFFFF,#FFFFFF,#33160B,#7A341A,#80361C,#FFFFFF,#FFFFFF,#FFFFFF,#33160B,#7A341A,#80361C,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6D9CF,#FFFFFF,#FFFFFF,#5C4E7A,#FFFFFF,#A86022,#E6D9CF,#FFFFFF,#FFFFFF,#5C4E7A,#FFFFFF,#7A341A
10019,#E1C2FF,#D16852,#DDDDDD,#808080,#8C183A,#524142,#796889,#98364E,#A9A9A9,#808080,#461554,#352524,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#352723,#A98E87,#C7A79E,#402A29,#523C39,#AD8F88,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#524142,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#352524
10020,#C0434A,#C67258,#7B7B7B,#FDFDFD,#1B8174,#ABABAB,#9A3338,#A0443F,#4A0E22,#F0FBF0,#284357,#5D4E54,#FFFFFF,#FFFFFF,#FFFFFF,#332B2E,#5D4E54,#806B73,#FFFFFF,#FFFFFF,#FFFFFF,#332B2E,#5D4E54,#806B73,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7,#E6CFCF,#FFFFFF,#FFFFFF,#463C5D,#FFFFFF,#ABABAB,#E6CFCF,#FFFFFF,#FFFFFF,#463C5D,#FFFFFF,#5D4E54
10021,#C39FAC,#ECDC89,#F6F3EC,#808080,#494DD4,#FACF7E,#CAA3B0,#E59F66,#DED6D0,#808080,#251980,#D6986A,#FFFFFF,#FFFFFF,#FFFFFF,#332419,#D6986A,#B27F58,#FFFFFF,#FFFFFF,#FFFFFF,#332419,#D6986A,#B27F58,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B,#E6DECF,#FFFFFF,#FFFFFF,#A289D6,#FFFFFF,#FACF7E,#E6DECF,#FFFFFF,#FFFFFF,#A289D6,#FFFFFF,#D6986A
10022,#CFCFD6,#E6EFF1,#B4ADB2,#808080,#A5A6CA,#7D7D7D,#B5A1C8,#BFBFD1,#A4A4A4,#808080,#7E77BC,#A49B9E,#FFFFFF,#FFFFFF,#FFFFFF,#333031,#A49B9E,#A49B9E,#FFFFFF,#FFFFFF,#FFFFFF,#333031,#A49B9E,#A49B9E,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7,#E6CFCF,#FFFFFF,#FFFFFF,#7C69A4,#FFFFFF,#7D7D7D,#E6CFCF,#FFFFFF,#FFFFFF,#7C69A4,#FFFFFF,#A49B9E
10023,#C39FAC,#ECDC89,#F8F7F5,#808080,#494DD4,#FFE7BA,#CAA3B0,#E59F66,#F4E2D5,#808080,#251980,#D6986A,#FFFFFF,#FFFFFF,#FFFFFF,#332419,#D6986A,#B27F58,#FFFFFF,#FFFFFF,#FFFFFF,#332419,#D6986A,#B27F58,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B,#E6DECF,#FFFFFF,#FFFFFF,#A289D6,#FFFFFF,#FFE7BA,#E6DECF,#FFFFFF,#FFFFFF,#A289D6,#FFFFFF,#D6986A
10024,#3F7987,#872539,#764341,#0E4536,#23DFD0,#874D4A,#1D486B,#46162A,#A48CA2,#082A12,#5689BB,#613734,#FFFFFF,#FFFFFF,#FFFFFF,#331D1B,#613734,#804845,#FFFFFF,#FFFFFF,#FFFFFF,#331D1B,#613734,#804845,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6CFCF,#FFFFFF,#FFFFFF,#493E61,#FFFFFF,#874D4A,#E6CFCF,#FFFFFF,#FFFFFF,#493E61,#FFFFFF,#613734
10025,#FFB7AE,#E6EFF1,#B4ADB2,#808080,#A5A6CA,#B4ADB2,#CD938C,#BFBFD1,#A49B9E,#808080,#7E77BC,#A49B9E,#FFFFFF,#FFFFFF,#FFFFFF,#333031,#A49B9E,#A49B9E,#FFFFFF,#FFFFFF,#FFFFFF,#333031,#A49B9E,#A49B9E,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7,#E6CFDF,#FFFFFF,#FFFFFF,#7C69A4,#FFFFFF,#B4ADB2,#E6CFDF,#FFFFFF,#FFFFFF,#7C69A4,#FFFFFF,#A49B9E
10026,#C83868,#493139,#9B0059,#00654D,#1D4946,#82002B,#732E5C,#2D1220,#541054,#05382A,#274526,#2F0721,#FFFFFF,#FFFFFF,#FFFFFF,#330723,#2F0721,#801358,#FFFFFF,#FFFFFF,#FFFFFF,#330723,#2F0721,#801358,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6CFD6,#FFFFFF,#FFFFFF,#241E2F,#FFFFFF,#82002B,#E6CFD6,#FFFFFF,#FFFFFF,#241E2F,#FFFFFF,#2F0721
10027,#A95652,#A95652,#A95652,#26D2E9,#984720,#A95652,#522423,#656565,#6B2C1C,#5884C9,#6B2C1C,#81423D,#FFFFFF,#FFFFFF,#FFFFFF,#331A18,#81423D,#81423D,#FFFFFF,#FFFFFF,#FFFFFF,#331A18,#81423D,#81423D,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6D0CF,#FFFFFF,#FFFFFF,#625381,#FFFFFF,#A95652,#E6D0CF,#FFFFFF,#FFFFFF,#625381,#FFFFFF,#81423D 
10028,#E29A8F,#D64E49,#9C1D30,#804B4A,#B01C5D,#865417,#B76483,#AF403A,#511232,#5F313A,#5F1F4E,#52120D,#FFFFFF,#FFFFFF,#FFFFFF,#330B08,#52120D,#801C15,#FFFFFF,#FFFFFF,#FFFFFF,#330B08,#52120D,#801C15,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096,#E6DBCF,#FFFFFF,#FFFFFF,#3E3452,#FFFFFF,#865417,#E6DBCF,#FFFFFF,#FFFFFF,#3E3452,#FFFFFF,#52120D
10029,#C39FAC,#ECDC89,#F8F6F1,#808080,#494DD4,#FACF7E,#CAA3B0,#E59F66,#D7C2B3,#808080,#251980,#D6986A,#FFFFFF,#FFFFFF,#FFFFFF,#332419,#D6986A,#B27F58,#FFFFFF,#FFFFFF,#FFFFFF,#332419,#D6986A,#B27F58,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B,#E6DECF,#FFFFFF,#FFFFFF,#A289D6,#FFFFFF,#FACF7E,#E6DECF,#FFFFFF,#FFFFFF,#A289D6,#FFFFFF,#D6986A
10030,#585958,#DDD9DA,#5E2B3A,#4F5050,#DD5F9D,#590019,#364C35,#E0C0CE,#3F1921,#394430,#A14A83,#060104,#FFFFFF,#FFFFFF,#FFFFFF,#330721,#060104,#801253,#FFFFFF,#FFFFFF,#FFFFFF,#330721,#060104,#801253,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6CFD5,#FFFFFF,#FFFFFF,#050406,#FFFFFF,#590019,#E6CFD5,#FFFFFF,#FFFFFF,#050406,#FFFFFF,#060104
10032,#6F1315,#6F373C,#E2D9D9,#6F3038,#C02048,#C07D7A,#290814,#502324,#E3C2CD,#501E21,#6C204B,#9B5868,#FFFFFF,#FFFFFF,#FFFFFF,#331D22,#9B5868,#9B5868,#FFFFFF,#FFFFFF,#FFFFFF,#331D22,#9B5868,#9B5868,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6CFCF,#FFFFFF,#FFFFFF,#75639B,#FFFFFF,#C07D7A,#E6CFCF,#FFFFFF,#FFFFFF,#75639B,#FFFFFF,#9B5868
10033,#DB648E,#DE45A3,#DEAED0,#4C2832,#531338,#54002B,#B65173,#8C4186,#8E7BBC,#310C1D,#020202,#0C020B,#FFFFFF,#FFFFFF,#FFFFFF,#330A2F,#0C020B,#801976,#FFFFFF,#FFFFFF,#FFFFFF,#330A2F,#0C020B,#801976,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096,#E6CFDA,#FFFFFF,#FFFFFF,#09080C,#FFFFFF,#54002B,#E6CFDA,#FFFFFF,#FFFFFF,#09080C,#FFFFFF,#0C020B
10034,#C39FAC,#ECDC89,#FDFBF8,#808080,#494DD4,#FACF7E,#CAA3B0,#E59F66,#F9E9E6,#808080,#251980,#D6986A,#FFFFFF,#FFFFFF,#FFFFFF,#332419,#D6986A,#B27F58,#FFFFFF,#FFFFFF,#FFFFFF,#332419,#D6986A,#B27F58,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B,#E6DECF,#FFFFFF,#FFFFFF,#A289D6,#FFFFFF,#FACF7E,#E6DECF,#FFFFFF,#FFFFFF,#A289D6,#FFFFFF,#D6986A
10035,#7A7A7A,#F8D1BC,#FFE8EA,#7A2C14,#C16C87,#623230,#5D4E53,#F7AFB0,#CBBDBE,#470F0B,#A14977,#43211C,#FFFFFF,#FFFFFF,#FFFFFF,#331915,#43211C,#803F35,#FFFFFF,#FFFFFF,#FFFFFF,#331915,#43211C,#803F35,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6CFCF,#FFFFFF,#FFFFFF,#332B43,#FFFFFF,#623230,#E6CFCF,#FFFFFF,#FFFFFF,#332B43,#FFFFFF,#43211C
10036,#C0492C,#4C271E,#FBFAFB,#59514F,#547AAE,#C0865D,#8D231F,#320C0B,#BDB7BA,#4B3248,#19668D,#A1443D,#FFFFFF,#FFFFFF,#FFFFFF,#331613,#A1443D,#A1443D,#FFFFFF,#FFFFFF,#FFFFFF,#331613,#A1443D,#A1443D,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6D8CF,#FFFFFF,#FFFFFF,#7A67A1,#FFFFFF,#C0865D,#E6D8CF,#FFFFFF,#FFFFFF,#7A67A1,#FFFFFF,#A1443D
10038,#865E2B,#D8B6A3,#C78E21,#5A5857,#533020,#7B2400,#58321C,#BC7E89,#A36433,#4D394A,#3A120C,#460404,#FFFFFF,#FFFFFF,#FFFFFF,#330303,#460404,#800707,#FFFFFF,#FFFFFF,#FFFFFF,#330303,#460404,#800707,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6D5CF,#FFFFFF,#FFFFFF,#352D46,#FFFFFF,#7B2400,#E6D5CF,#FFFFFF,#FFFFFF,#352D46,#FFFFFF,#460404
10039,#A39185,#A35119,#F3EBE7,#825231,#822B20,#4F4340,#8B7671,#742813,#B6B2B1,#5F2923,#4E1216,#362223,#FFFFFF,#FFFFFF,#FFFFFF,#332021,#362223,#804F53,#FFFFFF,#FFFFFF,#FFFFFF,#332021,#362223,#804F53,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096,#E6D2CF,#FFFFFF,#FFFFFF,#292336,#FFFFFF,#4F4340,#E6D2CF,#FFFFFF,#FFFFFF,#292336,#FFFFFF,#362223
10052,#C39FAC,#ECDC89,#FAF6F0,#808080,#494DD4,#FACF7E,#CAA3B0,#E59F66,#D7BEAD,#808080,#251980,#D6986A,#FFFFFF,#FFFFFF,#FFFFFF,#332419,#D6986A,#B27F58,#FFFFFF,#FFFFFF,#FFFFFF,#332419,#D6986A,#B27F58,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B,#E6DECF,#FFFFFF,#FFFFFF,#A289D6,#FFFFFF,#FACF7E,#E6DECF,#FFFFFF,#FFFFFF,#A289D6,#FFFFFF,#D6986A
10053,#E296C9,#D6BE2F,#9C6770,#808080,#3EA4B0,#9C6770,#B96FAF,#784420,#80555C,#808080,#1C5378,#80555C,#FFFFFF,#FFFFFF,#FFFFFF,#332225,#80555C,#80555C,#FFFFFF,#FFFFFF,#FFFFFF,#332225,#80555C,#80555C,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096,#E6CFD2,#FFFFFF,#FFFFFF,#615280,#FFFFFF,#9C6770,#E6CFD2,#FFFFFF,#FFFFFF,#615280,#FFFFFF,#80555C
10054,#F18A66,#8E8384,#8E3F3C,#8E181C,#F1732F,#8E3F3C,#C56045,#70616C,#682E2B,#490E24,#C3412B,#682E2B,#FFFFFF,#FFFFFF,#FFFFFF,#331715,#682E2B,#803934,#FFFFFF,#FFFFFF,#FFFFFF,#331715,#682E2B,#803934,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6CFCF,#FFFFFF,#FFFFFF,#4F4368,#FFFFFF,#8E3F3C,#E6CFCF,#FFFFFF,#FFFFFF,#4F4368,#FFFFFF,#682E2B
10058,#D2ABD9,#BC1623,#B27088,#808080,#353537,#B27088,#D2ABD9,#78151D,#B27088,#808080,#130C0D,#B27088,#FFFFFF,#FFFFFF,#FFFFFF,#332027,#B27088,#B27088,#FFFFFF,#FFFFFF,#FFFFFF,#332027,#B27088,#B27088,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6CFD7,#FFFFFF,#FFFFFF,#8672B2,#FFFFFF,#B27088,#E6CFD7,#FFFFFF,#FFFFFF,#8672B2,#FFFFFF,#B27088
10059,#C39FAC,#ECDC89,#FAF3E7,#808080,#494DD4,#FACF7E,#CAA3B0,#E59F66,#D7B7A0,#808080,#251980,#D6986A,#FFFFFF,#FFFFFF,#FFFFFF,#332419,#D6986A,#B27F58,#FFFFFF,#FFFFFF,#FFFFFF,#332419,#D6986A,#B27F58,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B,#E6DECF,#FFFFFF,#FFFFFF,#A289D6,#FFFFFF,#FACF7E,#E6DECF,#FFFFFF,#FFFFFF,#A289D6,#FFFFFF,#D6986A
10062,#CF593F,#CFCFCF,#F3EEEE,#542732,#540D0D,#766465,#A04531,#B2A0A4,#C8ABBA,#35151B,#0E0709,#543F4A,#FFFFFF,#FFFFFF,#FFFFFF,#33262D,#543F4A,#806070,#FFFFFF,#FFFFFF,#FFFFFF,#33262D,#543F4A,#806070,#352723,#A98E87,#C7A79E,#402A29,#523C39,#AD8F88,#E6CFD0,#FFFFFF,#FFFFFF,#3F3654,#FFFFFF,#766465,#E6CFD0,#FFFFFF,#FFFFFF,#3F3654,#FFFFFF,#543F4A
10066,#CF2D5D,#4C253A,#DACED2,#501131,#948E90,#AE546F,#742658,#310A26,#D2B8BF,#000000,#7F797B,#BB5873,#FFFFFF,#FFFFFF,#FFFFFF,#33181F,#BB5873,#B2546E,#FFFFFF,#FFFFFF,#FFFFFF,#33181F,#BB5873,#B2546E,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6CFD5,#FFFFFF,#FFFFFF,#8D78BB,#FFFFFF,#AE546F,#E6CFD5,#FFFFFF,#FFFFFF,#8D78BB,#FFFFFF,#BB5873
10067,#E296C9,#D6BE2F,#9C505D,#808080,#3EA4B0,#6D3D39,#B96FAF,#784420,#7B3D46,#808080,#1C5378,#643239,#FFFFFF,#FFFFFF,#FFFFFF,#33191D,#643239,#803F49,#FFFFFF,#FFFFFF,#FFFFFF,#33191D,#643239,#803F49,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096,#E6D0CF,#FFFFFF,#FFFFFF,#4B4064,#FFFFFF,#6D3D39,#E6D0CF,#FFFFFF,#FFFFFF,#4B4064,#FFFFFF,#643239
10068,#D2ABD9,#BC1623,#C04843,#808080,#353537,#C04843,#D2ABD9,#78151D,#9B3A36,#808080,#130C0D,#9B3A36,#FFFFFF,#FFFFFF,#FFFFFF,#331312,#9B3A36,#9B3A36,#FFFFFF,#FFFFFF,#FFFFFF,#331312,#9B3A36,#9B3A36,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6CFCF,#FFFFFF,#FFFFFF,#75639B,#FFFFFF,#C04843,#E6CFCF,#FFFFFF,#FFFFFF,#75639B,#FFFFFF,#9B3A36
10069,#9C68CF,#D16852,#F4EAEA,#808080,#8C183A,#524142,#9C68CF,#98364E,#A99898,#808080,#461554,#352524,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#352723,#A98E87,#C7A79E,#402A29,#523C39,#AD8F88,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#524142,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#352524
10070,#E24E8E,#E2BED0,#E27484,#5D1A24,#615256,#E27484,#8F447D,#AF83AF,#BB5E6A,#210A12,#4A2642,#BC5E6A,#FFFFFF,#FFFFFF,#FFFFFF,#331A1D,#BC5E6A,#B25965,#FFFFFF,#FFFFFF,#FFFFFF,#331A1D,#BC5E6A,#B25965,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6CFD2,#FFFFFF,#FFFFFF,#8E78BC,#FFFFFF,#E27484,#E6CFD2,#FFFFFF,#FFFFFF,#8E78BC,#FFFFFF,#BC5E6A
10071,#3B3BBF,#E6EFF1,#B4ADB2,#808080,#A5A6CA,#A49EA2,#3B3BBF,#BFBFD1,#A49B9E,#808080,#7E77BC,#898488,#FFFFFF,#FFFFFF,#FFFFFF,#333132,#898488,#898488,#FFFFFF,#FFFFFF,#FFFFFF,#333132,#898488,#898488,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7,#E6CFDF,#FFFFFF,#FFFFFF,#685889,#FFFFFF,#A49EA2,#E6CFDF,#FFFFFF,#FFFFFF,#685889,#FFFFFF,#898488
10074,#CC4374,#ECDC89,#FBFBF8,#808080,#494DD4,#FAD870,#F7518C,#E59F66,#E8DAC9,#808080,#251980,#E8AF68,#FFFFFF,#FFFFFF,#FFFFFF,#332617,#E8AF68,#B28750,#FFFFFF,#FFFFFF,#FFFFFF,#332617,#E8AF68,#B28750,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B,#E6E0CF,#FFFFFF,#FFFFFF,#AF94E8,#FFFFFF,#FAD870,#E6E0CF,#FFFFFF,#FFFFFF,#AF94E8,#FFFFFF,#E8AF68
10076,#C0254B,#927170,#C0413B,#683820,#FEFEFE,#C0413B,#6B214D,#71485B,#8D2A35,#442511,#CCB4D0,#8D2A36,#FFFFFF,#FFFFFF,#FFFFFF,#330F13,#8D2A36,#8D2A36,#FFFFFF,#FFFFFF,#FFFFFF,#330F13,#8D2A36,#8D2A36,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6CFCF,#FFFFFF,#FFFFFF,#6A5A8D,#FFFFFF,#C0413B,#E6CFCF,#FFFFFF,#FFFFFF,#6A5A8D,#FFFFFF,#8D2A36
10077,#49252D,#E877AD,#9C5450,#807B7B,#9C2718,#9C5450,#2E0B19,#C84FA5,#753F3B,#62595E,#650E18,#753F3B,#FFFFFF,#FFFFFF,#FFFFFF,#331B1A,#753F3B,#804440,#FFFFFF,#FFFFFF,#FFFFFF,#331B1A,#753F3B,#804440,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096,#E6D0CF,#FFFFFF,#FFFFFF,#594B75,#FFFFFF,#9C5450,#E6D0CF,#FFFFFF,#FFFFFF,#594B75,#FFFFFF,#753F3B
10081,#4D252A,#85414B,#F4DDE3,#F18B75,#B5284D,#C05D77,#34111A,#622E34,#B69BA2,#C56454,#602047,#9B495D,#FFFFFF,#FFFFFF,#FFFFFF,#33181F,#9B495D,#9B495D,#FFFFFF,#FFFFFF,#FFFFFF,#33181F,#9B495D,#9B495D,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6CFD5,#FFFFFF,#FFFFFF,#75639B,#FFFFFF,#C05D77,#E6CFD5,#FFFFFF,#FFFFFF,#75639B,#FFFFFF,#9B495D
10082,#D9AFA1,#75271A,#D96B59,#4D3A3A,#A87D80,#D96B59,#BC7B8D,#410E0F,#B15747,#331E21,#855170,#B05747,#FFFFFF,#FFFFFF,#FFFFFF,#331914,#B05747,#B05747,#FFFFFF,#FFFFFF,#FFFFFF,#331914,#B05747,#B05747,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6D2CF,#FFFFFF,#FFFFFF,#8571B0,#FFFFFF,#D96B59,#E6D2CF,#FFFFFF,#FFFFFF,#8571B0,#FFFFFF,#B05747
10085,#9C909A,#4A233B,#9C5080,#4A3F46,#629C75,#9C5080,#856E80,#2F0928,#7B3172,#2F1A32,#3C6581,#7B3171,#FFFFFF,#FFFFFF,#FFFFFF,#33142F,#7B3171,#803375,#FFFFFF,#FFFFFF,#FFFFFF,#33142F,#7B3171,#803375,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096,#E6CFDD,#FFFFFF,#FFFFFF,#5D4F7B,#FFFFFF,#9C5080,#E6CFDD,#FFFFFF,#FFFFFF,#5D4F7B,#FFFFFF,#7B3171
10086,#D2ABD9,#BC1623,#EEECEC,#808080,#353537,#C0615D,#D2ABD9,#78151D,#C4BDBD,#808080,#130C0D,#954B47,#FFFFFF,#FFFFFF,#FFFFFF,#331A18,#954B47,#954B47,#FFFFFF,#FFFFFF,#FFFFFF,#331A18,#954B47,#954B47,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6CFCF,#FFFFFF,#FFFFFF,#715F95,#FFFFFF,#C0615D,#E6CFCF,#FFFFFF,#FFFFFF,#715F95,#FFFFFF,#954B47
10087,#785B60,#FCBCC7,#9C3A4B,#E7B0B7,#841629,#9C3A4B,#55354C,#E095E4,#772B36,#BC7FA6,#390C23,#772B36,#FFFFFF,#FFFFFF,#FFFFFF,#331217,#772B36,#802E3A,#FFFFFF,#FFFFFF,#FFFFFF,#331217,#772B36,#802E3A,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096,#E6CFD2,#FFFFFF,#FFFFFF,#5A4C77,#FFFFFF,#9C3A4B,#E6CFD2,#FFFFFF,#FFFFFF,#5A4C77,#FFFFFF,#772B36
10089,#594C2C,#404C59,#ECE375,#5F56AE,#EDE9BD,#ECE375,#42430C,#152744,#C4A856,#4E3F6A,#DFBAA0,#C4A856,#FFFFFF,#FFFFFF,#FFFFFF,#332C16,#C4A856,#B2994E,#FFFFFF,#FFFFFF,#FFFFFF,#332C16,#C4A856,#B2994E,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B,#E6E4CF,#FFFFFF,#FFFFFF,#947EC4,#FFFFFF,#ECE375,#E6E4CF,#FFFFFF,#FFFFFF,#947EC4,#FFFFFF,#C4A856
10090,#D2ABD9,#BC1623,#EBE1E1,#808080,#353537,#C0615D,#D2ABD9,#78151D,#C6B9B8,#808080,#130C0D,#954B47,#FFFFFF,#FFFFFF,#FFFFFF,#331A18,#954B47,#954B47,#FFFFFF,#FFFFFF,#FFFFFF,#331A18,#954B47,#954B47,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6CFCF,#FFFFFF,#FFFFFF,#715F95,#FFFFFF,#C0615D,#E6CFCF,#FFFFFF,#FFFFFF,#715F95,#FFFFFF,#954B47
